instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_EQ|INE148I07SF0,23289,0SCL26,SEC RE NCD SR III,999.0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0D0U01013,12533,AAATECH,AAA TECHNOLOGIES LIMITED,124.08,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE883F01010,23729,AADHARHFC,AADHAR HOUSING FINANCE L,416.5,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE087Z01024,240,AAKASH,AAKASH EXPLORATION SER L,12.94,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE198H01019,5248,AAREYDRUGS,AAREY DRUGS & PHARM LTD,73.61,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE721Z01010,1030,AARON,AARON INDUSTRIES LIMITED,269.95,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE01C001026,17145,AARTECH,AARTECH SOLONICS LIMITED,80.44,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE767A01016,4481,AARTIDRUGS,AARTI DRUGS LTD.,574.6,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE769A01020,7,AARTIIND,AARTI INDUSTRIES LTD,609.6,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0LRU01027,13868,AARTIPHARM,AARTI PHARMALABS LIMITED,679.0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE09EO01013,19233,AARTISURF,AARTI SURFACTANTS LIMITED,657.65,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE273D01019,13775,AARVEEDEN,AARVEE DEN. & EXP. LTD,44.0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE754X01016,19073,AARVI,AARVI ENCON LIMITED,143.85,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0OB201016,16961,AATMAJ,AATMAJ HEALTHCARE LIMITED,27.1,,,0.05,2000,EQUITY,,NSE_EQ
NSE_EQ|INE216P01012,5385,AAVAS,AAVAS FINANCIERS LIMITED,1741.45,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE421A01028,10,ABAN,ABAN OFFSHORE LTD.,83.95,,,0.01,1,EQUITY,,NSE_EQ
